Name	Set	ImageFile	Type	Title	Tags	Emblem	Color	Strength	Defense	Blast	Destiny	Required_Power	Required_Color	Required_Emblem	Text	Help	Number
Thrill of Anticipation	GrandPrix	2c48ToA.jpg	Resource			MegaMan	Yellow				2			1x MegaMan	SPEND: Discard a yellow card to burn an opponent's power and power up.		2C48
VulGear	GrandPrix	2c49vulgear.jpg	Resource		Virus		Red				3				SPEND: Discard a card to add 2 to your blast destiny.		2C49
Boomer1	GrandPrix	2c5boomer1.jpg	BattleChip								1		1x Yellow		Make your NetNavi strength +3.		2C5
Weepers	GrandPrix	2c50weepers.jpg	Resource				Red				2	3			SPEND: Reveal the top card of your deck. You may play it, even if it is a resource.		2C50
FastGauge	GrandPrix	2c6fstgauge.jpg	BattleChip								1	2	2x Green		Whenever you lose an energy, you may draw a card.		2C6
GrabRevenge	GrandPrix	2c7grabrev.jpg	BattleChip								4		1x Blue		Whenever you play an event, you may return a resource to its owner's hand.		2C7
Guard2	GrandPrix	2c8guard2.jpg	BattleChip								4	3			Discard a blue card to make your NetNavi defense +4.		2C8
HiCannon	GrandPrix	2c9hicannon.jpg	BattleChip								4	3			Burn a power to make your NetNavi strength +1 for each resource in play.		2C9
ProtoMan	Promo	2p1protoman2.jpg	NetNavi	Unbeatabale		ProtoMan		3	2	5					Whenever you play a BattleChip, you may add 2 to your blast destiny.		2P1
Maysa	Promo	2p2maysaSS.jpg	Resource	Staunch Supporter			Blue				3	4			You may have an additional resource in play. SPEND: Place any number of your resources in play (including this one) in your power gauge.		2P2
Dr. Hikari	Promo	2p3drhikari.jpg	Resource	Paternal Hero			Red				4	4			SPEND: Reveal all cards in your power gauge. You may play one, even if it is a resource.		2P3
Let's Jam	Promo	2p4letsjam.jpg	Resource				Green				1	3			SPEND: Burn 2 power to draw 5 cards.		2P4
Flatter Yourself	Promo	2p5flatter.jpg	Resource				Red				1	2			SPEND: Discard a card with your NetNavi's emblem to add 4 to your blast destiny.		2P5
Anubis	GrandPrix	2r51Anubis.jpg	BattleChip			PharaohMan					3	3	2x Yellow	1x PharaohMan	Discard a PharaohMan card to make your PharaohMan strength +2 for each resource in play.		2R51
Blizzard	GrandPrix	2r52blizzard.jpg	BattleChip			IceMan					7		2x Yellow	1x IceMan	Discard an IceMan card to make your IceMan strength +2 for each card in your opponent's power gauge.		2R52
CustomSword	GrandPrix	2r53CustSword.jpg	BattleChip			ProtoMan					3	3	2x Blue	1x ProtoMan	Discard a ProtoMan card to double your ProtoMan's strength.		2R53
Magnum	GrandPrix	2r54Magnum.jpg	BattleChip								3	4	1x Red		Discard 2 cards and note their destinies. Add their total value to your NetNavi's strength.		2R54
NeoVariable	GrandPrix	2r55NeoVari.jpg	BattleChip			MegaMan					3		2x Yellow	1x MegaMan	Discard a MegaMan card and burn 2 powernote the higher destiny. Add that amount to MegaMan's strength twice.		2R55
Snake	GrandPrix	2r56snake.jpg	BattleChip			SnakeMan					5		2x Green	1x SnakeMan	Discard a SnakeMan card to make your SnakeMan defense +3 for each card in hand.		2R56
Wind	GrandPrix	2r57wind.jpg	BattleChip			AirMan					5		2x Blue	1x AirMan	Discard an AirMan card to make your AirMan blast -1 and strength +6.		2R57
Always a Competition	GrandPrix	2r58AAC.jpg	Event				Yellow				3		2x Yellow		Spend a yellow resource for no effect to power up 4 times.		2R58
Burner	GrandPrix	2r59burned.jpg	Event				Red				2		2x Red		Make your opponent lose an energy for each resource in play.		2R59
Construct a Victory	GrandPrix	2r60CoV.jpg	Event				Green				5		2x Green		Spend a green resource for no effect to draw a card for each card in your opponent's hand.		2R60
Enlightenment	GrandPrix	2r61enlightenment.JPG	Event				Green				2		2x Green		Choose any cards from your hand, power gauge and resources in play and place them beneath your deck.		2R61
Friendly Rivals	GrandPrix	2r62FriendlyRivals.jpg	Event			IceMan	Green				1			1x IceMan	Opponent places each card in his or her power gauge beneath his or her deck.		2R62
Grave Problem	GrandPrix	2r63GraveProblem.jpg	Event				Blue				1		2x Blue		Opponent takes all cards in his or her power gauge into hand.		2R63
Like Father, Like Son	GrandPrix	2r64lfls.jpg	Event				Blue				4		2x Blue		Return up to 3 resources to their owners'hands.		2R64
Nose Knows	GrandPrix	2r65noseknows.jpg	Event				Red				5		2x Red		Add 1 to your blast destiny for each resource in play.		2R65
Unwavering Loyalty	GrandPrix	2r66UnwaveringLoyalty.jpg	Event			MegaMan	Blue				2			1x MegaMan	Discard a card to make your MegaMan blast -2. Place this card in your power gauge.		2R66
What an Intrusion	GrandPrix	2r67WaI.jpg	Event				Yellow				3		2x Yellow		Place all cards in your hand in your power gauge.		2R67
A Higher Level	GrandPrix	2r68ahigherlevel.jpg	Resource			ProtoMan	Red				3	4		1x ProtoMan	SPEND: Add 4 to your blast destiny.		2R68
Bring It On	GrandPrix	2r69Bringiton.jpg	Resource			ProtoMan	Blue				4			1x ProtoMan	SPEND: Reduce your ProtoMan's strength by any amount (to a minimum of 0) to reduce his blast by that amount.		2R69
Falling Object	GrandPrix	2r70FO.jpg	Resource			PharaohMan	Red				2			1x PharaohMan	SPEND: Burn a power to place 2 cards from your discard pile on top of your deck.		2R70
Full of Hot Air	GrandPrix	2r71foha.jpg	Resource			AirMan	Green				5	2		1x AirMan	SPEND: Place this card on top of your deck.		2R71
Glide	GrandPrix	2r72Glide.JPG	Resource	At Your Service	Ally		Green				1	5			SPEND: Take a card from your deck into hand. Shuffle your deck.		2R72
Keep Battling	GrandPrix	2r73keepbattling.jpg	Resource			SnakeMan	Green				3	3		1x SnakeMan	SPEND: If you have no cards in hand, burn a power to draw 4 cards.		2R73
MegaMan	GrandPrix	2r74megamanally.jpg	Resource	Licensed to Delete	Ally		Red				1	4			SPEND: Make your opponent lose 3 energy.		2R74
Petrify	GrandPrix	2r75Petrify.jpg	Resource			PharaohMan	Yellow				2	2		1x PharaohMan	SPEND: Burn 3 power to burn all of your opponent's power.		2R75
ProtoMan	GrandPrix	2r76protomanally.jpg	Resource	Controlled Fury	Ally		Blue				1	4			SPEND: Make your opponent place each card in hand in his or her power gauge.		2R76
Roll	GrandPrix	2r77Rollally.JPG	Resource	Downtown Chaperone	Ally		Yellow				1	4			SPEND: Power up twice for each other ally you have in play.		2R77
Correction	GrandPrix	2sr82correction.jpg	Event				Blue				5		3x Blue		Opponent discards down to 1 card.		2SR82
Owe You One	GrandPrix	2sr83oyo.jpg	Event				Green				5		3x Green		Opponent draws 3 cards and you recharge 3 energy.		2SR83
Ultimate Sacrifice	GrandPrix	2sr84US.jpg	Event				Yellow				5		3x Yellow		Destroy all resources, burn all power and discard all hands.		2SR84
Unbelievable!	GrandPrix	2sr85unbelievable.jpg	Event				Red				5		3x Red		Place all BattleChips in your discard pile on top of your deck.		2SR85
Arashi	GrandPrix	2sr86arashi.jpg	Resource	Wide Open	NetOp	AirMan	Blue				4	4		1x AirMan	Your AirMan is blast -1 for each of your other AirMan cards in play.		2SR86
Chaud	GrandPrix	2sr87chaud.jpg	Resource	Smooth Operator	NetOp	ProtoMan	Red				4	4		1x ProtoMan	Your ProtoMan is defense +1 for each of your other ProtoMan cards in play.		2SR87
Lan	GrandPrix	2sr88LanHS.jpg	Resource	Hot Shot	NetOp	MegaMan	Blue				2	3		1x MegaMan	Your power gauge has one additional position for each of your MegaMan cards in play.		2SR88
Ms. Millionaire	GrandPrix	2sr89ms.jpg	Resource	Politely Evil	NetOp	SnakeMan	Green				2	3		1x SnakeMan	Your SnakeMan is strength +1 for each of your other SnakeMan cards in play.		2SR89
Sacred Kingdom	GrandPrix	2sr90SacredKingdom.jpg	Resource			PharaohMan	Yellow				5	5		1x PharaohMan	Whenever you are about to lose an energy during battle, you may power up instead. You may only do this once each turn for each of your other PharaohMan cards in play.		2SR90
Tory	GrandPrix	2sr91Tory.jpg	Resource	Rookie NetOp	NetOp	IceMan	Yellow				3	4		1x IceMan	Whenever you blast, you may place a card from hand in your power gauge for each of your other IceMan cards in play.		2SR91
PharaohMan	GrandPrix	2st78pharaohman.jpg	NetNavi	Ultimate NetNavi		PharaohMan		3	2	4							2St78
ProtoMan	GrandPrix	2st79Protoman1.JPG	NetNavi	GrandPrix Champ		ProtoMan		3	1	2							2St79
Open the Door	GrandPrix	2st80OtD.jpg	Resource				Red				3	4			SPEND: If you played a BattleChip this turn, add its destiny to your blast destiny.		2St80
Virtual Martyr	GrandPrix	2st81VM.jpg	Resource				Blue				3	4			SPEND: Make a NetNavi blast -1 until end of next turn. Place this card in your power gauge.		2St81
All Natural	GrandPrix	2ur100allnatural.jpg	Resource			IceMan	Green				3	4		1x IceMan	SPEND: Burn 5 power to reveal all cards in your opponent's power gauge and note the total of their destinies. Recharge that much energy.		2UR100
Glow, Baby, Glow	GrandPrix	2ur101GBG.jpg	Resource			MegaMan	Yellow				5	4		1x MegaMan	SPEND: Discard 3 cards to power up 5 times.		2UR101
BoysBomb3	GrandPrix	2ur92BB3.jpg	BattleChip								5	4	3x Yellow		Lose 2 energy to make your NetNavi strength +3 for each card in your power gauge.		2UR92
DoublePoint	GrandPrix	2ur93doublepoint.jpg	BattleChip								5	4			Burn 2 power to make your NetNavi strength +2 for each BattleChip you play this turn (including this one). You may play another BattleChip.		2UR93
Geddon3	GrandPrix	2ur94geddon3.jpg	BattleChip								5	5	1x Green		Burn 3 power to make your NetNavi strength +2 for each card in your hand and your opponent's hand.		2UR94
Recovery200	GrandPrix	2ur95recov200.jpg	BattleChip								5	3			Discard 4 cards of the same color to make your NetNavi defense +10.		2UR95
Blown Away	GrandPrix	2ur96BlownAway.jpg	Event			AirMan	Blue				2			1x AirMan	Lose 1 energy for each point of your AirMan's blast and note each destiny. Opponent reveals his or her hand and discards each card with any of those destinies.		2UR96
Collect 'Em All	GrandPrix	2ur97CEA.jpg	Event			SnakeMan	Red				6			1x SnakeMan	Discard 2 cards to make your opponent lose 1 energy for each point of his or her blast destiny.		2UR97
Dark Admonition	GrandPrix	2ur98DarkAdmon.jpg	Event			ProtoMan	Red				3			1x ProtoMan	Lose 2 energy for each point of strength your ProtoMan has to make your opponent lose 5 energy.		2UR98
Liberation	GrandPrix	2ur99liberation.jpg	Event			PharaohMan	Red				3			3x PharaohMan	Whenever you burn a power, you make add 3 to your blast destiny.		2UR99
The Oath	Promo	3-1theoath.jpg	Resource				Blue				0	2			SPEND: Burn a power to cancel a blast destiny.		3*1
MagnetMan	Grave	3c1Magnetman.JPG	NetNavi	Polarized		MagnetMan		4	0	3					Whenever you blast, you may recharge 2 energy.		3C1
No Joke	Grave	3c10nojoke.jpg	Event				Yellow				5		1x Yellow		Opponent powers up twice.		3C10
Wrap It Up	Grave	3c11WIU.jpg	Event				Red				2				Add 3 to your blast destiny.		3C11
Backed Up	Grave	3c12backedup.jpg	Resource			WoodMan	Red				1			1x WoodMan	SPEND: Return this resource to your hand.		3C12
BomBoy	Grave	3c13bomboy.jpg	Resource		Virus		Red				3	4			SPEND: Discard a card to reduce a NetNavi's defense to 0.	(Viruses are not unique. Whenever you play a virus, you may play another copy of that virus from your deck, then shuffle your deck.)	3C13
Carb Craving	Grave	3c14CarbCraving.jpg	Resource				Yellow				5	3			SPEND: Discard 2 cards to power up three times.		3C14
Doubting Navi	Grave	3c15DN.jpg	Resource				Yellow				2				SPEND: Discard a card to burn an opponent's power.		3C15
Eliminate	Grave	3c16eliminate.jpg	Resource				Blue				2	3			SPEND: Return this resource or a resource in play to its owner's hand.		3C16
Envious Evil	Grave	3c17EE.jpg	Resource				Red				5				SPEND: Lose 1 energy.		3C17
Firm Barrier	Grave	3c18firmbarrier.jpg	Resource				Red				2				SPEND: Discard a card to make your NetNavi defense +2.		3C18
Gender Differences	Grave	3c19GD.jpg	Resource				Green				1	3			SPEND: Lose 2 energy to take a card from your discard pile into hand.		3C19
ShadowMan	Grave	3c2shadowman.jpg	NetNavi	Dark Ninja		ShadowMan		1	2	2					Whenever you blast, you may return up to 2 resources to their owners' hands.		3C2
Giving It Away	Grave	3c20GIA.jpg	Resource				Green				4				SPEND: Discard 2 cards to recharge 3 energy.		3C20
Interconnected	Grave	3c21interconnected.jpg	Resource			Bass	Yellow				3	3		1x Bass	SPEND: Discard a card to blast. This does not count against your blast limit.		3C21
Just a Nuisance	Grave	3c22JaN.jpg	Resource				Blue				3				SPEND: Discard a card and note its color. Cancel a blast destiny of that color.		3C22
Lark	Grave	3c23lark.jpg	Resource		Virus		Blue				0	3			SPEND: Burn a power to make your opponent discard a card.	(Viruses are not unique. Whenever you play a virus, you may play another copy of that virus from your deck, then shuffle your deck.)	3C23
MagTect	Grave	3c24magtect.jpg	Resource		Virus		Yellow				3	4			SPEND: Lose 3 energy to place a card from your discard pile in your power gauge.	(Viruses are not unique. Whenever you play a virus, you may play another copy of that virus from your deck, then shuffle your deck.)	3C24
No More Practice	Grave	3c25NMP.jpg	Resource				Yellow				3	2			SPEND: Discard a yellow card to blast an additional time.		3C25
One to Talk	Grave	3c26OtT.jpg	Resource				Red				3	3			SPEND: Place a card from your discard pile on top of your deck.		3C26
Requital	Grave	3c27Requital.jpg	Resource			SharkMan	Blue				1	3		1x SharkMan	SPEND: If you played a BattleChip this turn, place 2 cards from hand in your power gauge.		3C27
Shadow Boss	Grave	3c28shadowboss.jpg	Resource			ShadowMan	Red				1			1x ShadowMan	SPEND: Discard a card to make your opponent lose 1 energy for each card in his or her hand over 2.		3C28
Spidy	Grave	3c29spidy.jpg	Resource		Virus		Green				2	4			SPEND: Make your opponent draw a card.	(Viruses are not unique. Whenever you play a virus, you may play another copy of that virus from your deck, then shuffle your deck.)	3C29
SkullMan	Grave	3c3skullman.jpg	NetNavi	Skeletal Agent		SkullMan		2	1	2					Whenever you blast, you may place your resource in play in your power gauge.		3C3
Stuck in Place	Grave	3c30SiP.jpg	Resource			MagnetMan	Yellow				1			1x MagnetMan	SPEND: Discard a card to power up once for each resource you have in play.		3C30
Surprise Transfer	Grave	3c31surprisetransfer.jpg	Resource				Blue				4	2			SPEND: Lose 2 energy to place a card from hand in your power gauge.		3C31
Sweet Indignation	Grave	3c32SweetIndignation.jpg	Resource				Green				3	4			SPEND: Burn a power to take a card from your deck into hand. Shuffle your deck.		3C32
Watch Out	Grave	3c33watchout.jpg	Resource			SkullMan	Yellow				0			1x SkullMan	SPEND: Power up.		3C33
WoodMan	Grave	3c4Woodman.jpg	NetNavi	Natural Leader		WoodMan		3	3	0							3C4
Recovery10	Grave	3c5Recov10.JPG	BattleChip								4				Make your opponent take 2 random card from his or her discard pile into hand to make your NetNavi defense +2.		3C5
Vulcan3	Grave	3c6Vulcan3.JPG	BattleChip								2	4			Make your NetNavi strength +4.		3C6
WhiteWeb2	Grave	3c7WW2.jpg	BattleChip								5		1x Green		Opponent cannot draw cards.		3C7
Fortified	Grave	3c8fortified.jpg	Event				Green				2		1x Green		Recharge 2 energy.		3C8
Like You Mean It	Grave	3c9LYMI.jpg	Event				Blue				2		1x Blue		Opponent discards a card.		3C9
MegaMan X	Promo	3p1mmx.jpg	NetNavi	Invincible		MegaMan X		3	1	2							3P1
MegaMan X	Promo	3p1MMXP.jpg	NetNavi	Invincible		MegaMan X		3	1	2					Free Mega Man X Command Mission passcodes at megamantcg.com		3P1
AquaCustom Activate!	Promo	3P2.jpg	Event		Style Change		Blue				3		4x Blue		Spend 4 blue resources for no effect to reveal your opponent's hand. Add the number of resources revealed to your NetNavi's strength and defense for the rest of the game.		3P2
WoodShield Activate!	Promo	3P4.png	Event		Style Change		Green				1		4x Green		Place all of your resources, cards in hand, and cards in your power gauge on the bottom of your deck. Recharge 2 energy for each card placed there.		3P4
HeatGuts Activate!	Promo	3P5.jpg	Event		Style Change		Red				5		2x Red		Look at the cards in your power gauge. You may play each of them this main phase, even if it is a resource. Burn all of your remaining power at the end of turn.		3P5
Beginning to Learn	Grave	3r62BTL.jpg	Event				Yellow				5		3x Yellow		For each card your opponent drew this turn, he or she spends a resource for no effect.		3R62
Bow Down	Grave	3r63bowdown.jpg	Event			ShadowMan	Red				4			2x ShadowMan	Name a destiny and reveal your opponent's hand. For each revealed card with that destiny, your opponent loses 2 energy.		3R63
Cutting Edge	Grave	3r64cuttingedge.jpg	Event				Red				5		2x Red		Opponent loses an energy for each card fewer than 5 in his or her hand.		3R64
Eerie Blast	Grave	3r65EerieBlast.jpg	Event			SkullMan	Yellow				5			2x SkullMan	Reveal the cards in your power gauge. If their total destiny is greater than 15, opponent places his or her hand in his or her power gauge.		3R65
Modest Defense	Grave	3r66Modestdefense.jpg	Event				Blue				4		1x Blue		Opponent reveals his or her hand. Place a revealed BattleChip in your opponent's discard pile.		3R66
Opposites Attract	Grave	3r67oppatr.jpg	Event			MagnetMan	Green				3			3x MagnetMan	Whenever you lose energy during battle, take the lost cards into hand.		3R67
Out of Water	Grave	3r68OutofWater.jpg	Event			SharkMan	Blue				4	2		1x SharkMan	Play any number of resources.		3R68
Pay a Price	Grave	3r69Payaprice.jpg	Event				Blue				4		2x Blue		Opponent discards a card for each resource he or she spent this turn.		3R69
Unlikely Source	Grave	3r70unlikely.jpg	Event				Yellow				3		1x Yellow		Discard a BattleChip to make your opponent blast, if possible. Place this card in your power gauge.		3R70
Your Apologies	Grave	3r71Yourapologies.jpg	Event				Green				4		2x Green		Opponent draws 2 cards for each point of energy he or she has lost this turn.		3R71
At Fault	Grave	3r72atfault.jpg	Resource			Bass	Yellow				2		1x Yellow		SPEND: Search your opponent's deck and place a card there in his or her discard pile.		3R72
Flawless	Grave	3r73flawless.jpg	Resource			Bass	Red				1			1x Bass	SPEND: Place a card from your discard pile on top of your deck.		3R73
GutsMan	Grave	3r74Gutsmanally.jpg	Resource	Full Out Battler	Ally		Red				1	4			SPEND: Make your blast destiny +4.		3R74
SharkMan	Grave	3r75Sharkmanally.jpg	Resource	Fishy Agent	Ally		Blue				1	4			SPEND: Cancel a BattleChip.		3R75
SkullMan	Grave	3r76Skullmanally.jpg	Resource	Friendly Ghoul	Ally		Yellow				1	4			SPEND: Place a resource in play in its owner's power gauge.		3R76
Surprisingly Sharp	Grave	3r77SurSha.jpg	Resource			SharkMan	Green				1			1x SharkMan	SPEND: If you played a BattleChip this turn, draw 2 cards.		3R77
Viperous Vines	Grave	3r78ViperousVines.jpg	Resource			WoodMan	Green				1			1x WoodMan	SPEND: Lose 2 energy to take a card from your discard pileinto hand.		3R78
WoodMan	Grave	3r79Woodmanally.jpg	Resource	Outdoorsy	Ally		Green				1	4			SPEND: Take a card from your discard pile into hand.		3R79
AquaCustom	Grave	3sr84AquaCustom.jpg	Resource		Style Change		Blue				2	2	2x Blue		Whenever a player spends a Blue resource, you may make your opponent discard a card.		3SR84
ElecTeam	Grave	3sr85Electeam.jpg	Resource		Style Change		Yellow				4		1x Yellow		During each of your draw phases, if the only resources in play are yellow, you may power up an additional time.		3SR85
Grave VirusBeast	Grave	3sr86GVB.jpg	Resource			Bass	Yellow				4	4		1x Bass	Whenever you play another Bass card, you may burn an opponent's power.		3SR86
HeatGuts	Grave	3sr87heatguts.jpg	Resource		Style Change		Red				0		1x Red		For each other red resource in play, your NetNavi's blast destinies are each +1.		3SR87
Kid Grave	Grave	3sr88Kidgrave.jpg	Resource	Just a Puppet		ShadowMan	Red				4	4		1x ShadowMan	Whenever you play another ShadowMan card, you may make your opponent lose 1 energy for each resource he or she has in play.		3SR88
Maysa	Grave	3sr89Maysa.jpg	Resource	Commander Beef	NetOp	SharkMan	Blue				2	3		1x SharkMan	Whenever you play another SharkMan card, you may take a card from your power gauge into hand.		3SR89
Miyu	Grave	3sr90miyu.jpg	Resource	Misteriyu	NetOp	SkullMan	Yellow				0	3		1x SkullMan	Whenever you play another SkullMan card, you may place a resource from your discard pile in your power gauge.		3SR90
Mr. Gauss	Grave	3sr91mrGauss.jpg	Resource	Devious Investor	NetOp	MagnetMan	Yellow				2	3		1x MagnetMan	Whenever you play another MagnetMan card, you may power up.		3SR91
Sal	Grave	3sr92Sal.jpg	Resource	Black Rose	NetOp	WoodMan	Green				1	4		1x WoodMan	Whenever you play another WoodMan card, you may take a BattleChip from your discard pile into hand.		3SR92
WoodShield	Grave	3sr93Woodshield.jpg	Resource		Style Change		Green				2		1x Green		The first time each turn you draw a card, reveal it. If that card is Green, draw another card.		3SR93
Bass	Grave	3st80Bass.jpg	NetNavi	Ultimate Reborn		Bass		3	1	2							3St80
SharkMan	Grave	3st81Sharkman.jpg	NetNavi	Aquatic Enforcer		SharkMan		2	2	2							3St81
Deletion Inevitable	Grave	3st82DeletionInevitable.jpg	Event				Red				4		1x Red		Discard a BattleChip to make your opponent lose 4 energy.		3St82
No Alternatives	Grave	3st83NoAlternatives.jpg	Event				Green				4		1x Green		Discard a BattleChip to replace each card in your opponent's power gauge with a card from his or her discard pile. Place the replaced cards in your opponent's discard pile.		3St83
AirHockey3	Grave	3u34air3.jpg	BattleChip								3	5	1x Blue, 1x Green		Make your NetNavi strength +2 for each card you have in hand more than your opponent has in hand.		3U34
BigHammer3	Grave	3u36BH3.jpg	BattleChip								5	3	2x Red		Whenever you blast, you may add 4 to your blast destiny		3U36
BugBomb	Grave	3u37bugbomb.jpg	BattleChip								6		2x Blue		Opponent cannot play events or BattleChips. Place this card in your power gauge.		3U37
CircleGun1	Grave	3u39CG1.jpg	BattleChip								4		2x Red		Make your NetNavi strength +1 for each card in your hand. Place this card on top of your deck.		3U39
GunDelSol2	Grave	3u41GDS2.jpg	BattleChip								5	4	2x Red		Make your NetNavi defense +6.		3U41
Mine	Grave	3u43mine.jpg	BattleChip								4	2			Make your NetNavi strength +2 for each virus your opponent has in play.		3U43
Sanctuary	Grave	3u45Sanctuary.jpg	BattleChip								3	4	2x Green		Whenever you burn an opponent's power, you may recharge 4 energy.		3U45
Evolution	Grave	3u47Evolution.jpg	Event				Blue				3		1x Blue		If you have exactly 2 cards in hand, place both of them in your power gauge.		3U47
Frozen Out	Grave	3u48FrozenOut.jpg	Event				Green				5		1x Green		If you have exactly 3 cards in hand, lose an energy to take a card from your discard pile into hand.		3U48
Guarding Solo	Grave	3u49GS.jpg	Event				Red				3		1x Red		If you have no cards in hand, make your NetNavi defense +3.		3U49
Quite Confident	Grave	3u50QC.jpg	Event				Yellow				3		1x Yellow		If you have exactly 1 card in hand, power up twice.		3U50
Connection Interrupted	Grave	3u51ConnectionInterrupted.jpg	Resource				Blue				2	3			SPEND: Burn a power and name a color. For each resource your opponent has in play of that color, he or she discards a card.		3U51
Food Education	Grave	3u52FE.jpg	Resource				Green				0	3			SPEND: Lose 3 energy to draw 3 cards.		3U52
Guardian of the Forest	Grave	3u53GotF.jpg	Resource				Green				3	4			SPEND: Burn a power and name a color. Recharge 2 energy for each resource of that color your opponent has in play.		3U53
Hidden Force	Grave	3u54HiddenForce.jpg	Resource				Yellow				2	3			SPEND: Burn a power and name a color. Destroy all but one of your opponent's resources of that color.		3U54
MegaModification	Grave	3u55megamod.jpg	Resource				Yellow				2	3			SPEND: Discard a yellow card to place 2 cards from your discard pile in your power gauge.		3U55
Mission of Defeat	Grave	3u56MoD.jpg	Resource			ShadowMan	Blue				2	2		1x ShadowMan	SPEND: Whenever you spend another resource this turn, you may place it in your power gauge.		3U56
Mystical	Grave	3u57mystical.jpg	Resource			SkullMan	Blue				5	4		1x SkullMan	SPEND: Opponent cannot play events and BattleChips until end of next turn.		3U57
Pulls You In	Grave	3u58PYI.jpg	Resource			MagnetMan	Green				1	3		1x MagnetMan	SPEND: Discard a card to recharge 4 energy.		3U58
Set to Win	Grave	3u59Settowin.jpg	Resource				Red				0	4			SPEND: If you played a BattleChip this turn, add 5 to your blast destiny.		3U59
Timber Terror	Grave	3u60TimberTerror.jpg	Resource			WoodMan	Green				1			1x WoodMan	SPEND: Make your hand size +2 until end of your next turn.		3U60
Usual Policy	Grave	3u61UP.jpg	Resource				Red				0	3			SPEND: Burn a power and name a color. Opponent loses 2 energy for each resource of that color he or she has in play.		3U61
Fish at Hand	Grave	3ur100FaH.jpg	Resource			SharkMan	Green				5	4		1x SharkMan	SPEND: Burn 3 power to recharge an energy for each resource in play and each card in your hand.		3UR100
Helping Out	Grave	3ur101HelpingOut.jpg	Resource			SkullMan	Blue				5	3		1x SkullMan	SPEND: Burn a power to cancel a BattleChip.		3UR101
Immobilize Force	Grave	3ur102IF.jpg	Resource			ShadowMan	Blue				5	4		1x ShadowMan	SPEND: Discard a card to make your opponent take all cards in his or her power gauge into hand.		3UR102
Memory Scan Complete	Grave	3ur103MSC.jpg	Resource			Bass	Red				4	4		1x Bass	SPEND: Lose an energy and addits destiny to each of yourblast destinies.		3UR103
AquaUpper3	Grave	3ur94AU3.jpg	BattleChip								5	4	2x Blue		Burn 4 power. Each time a player spends a resource, you may make your NetNavi strength +4.		3UR94
ElecShock	Grave	3ur95elecshock.jpg	BattleChip								3	5	2x Yellow		Burn 5 power and note the total of the destinies of all resources in play. Add that amount to your NetNavi's strength.		3UR95
Meteors1	Grave	3ur96meteors.jpg	BattleChip								2		2x Red		You may play up to 2 additional BattleChips. At the end of turn, if in your discard pile, return each to hand.		3UR96
RollArrow3	Grave	3ur97RA3.jpg	BattleChip								5	4	2x Green		Burn 2 power to reveal 3 random cards from your opponent's hand. Add the total of their destinies to your NetNavi's strength.		3UR97
Branched Out	Grave	3ur98BranchedOut.jpg	Resource			WoodMan	Red				1	4		2x WoodMan	SPEND: Discard any number of cards. For each card discarded, make your WoodMan strength +2 and your opponent lose 1 energy.		3UR98
Drawn to It	Grave	3ur99DTI.jpg	Resource			MagnetMan	Yellow				4			1x MagnetMan	SPEND: Discard 2 cards to place 2 cards from your discard pile in your power gauge.		3UR99
BambooLance	Grave	4u35bamboolance.jpg	BattleChip			WoodMan					1		1x Green	2x WoodMan	Return any number of cards in your power gauge to hand. Make your WoodMan strength +1 for each card in your hand.		4U35
BugCharge	Grave	4u38bugcharge.jpg	BattleChip			Bass					5	3	1x Red	2x Bass	Discard a card to make your Bass defense +2 for each card in your power gauge.		4U38
Geyser	Grave	4u40geyser.jpg	BattleChip			SharkMan					5	3	1x Blue	2x SharkMan	Return any number of your resources in play to hand. Make your SharkMan strength +3 for each resource returned.		4U40
MagBolt3	Grave	4u42MB3.jpg	BattleChip			MagnetMan					5	4	1x Yellow	2x MagnetMan	Opponent may spend any number of resources for no effect. Then make your MagnetMan strength +3 for resource he or she has in play.		4U42
Muramasa	Grave	4u44muramasa.jpg	BattleChip			ShadowMan					3	3	1x Blue	2x ShadowMan	Opponent may discard any number of cards. Then make your ShadowMan strength +2 for each card in your opponent's hand.		4U44
VoodooDoll	Grave	4u46voodoo.jpg	BattleChip			SkullMan					3	3	1x Yellow	2x SkullMan	Burn 3 power to make your Skull-Man strength +2 for each resource your opponent has in play and each card in his or her power gauge.		4U46
